Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
9:17:57,10/29/2022,9742448093,8354852005,6477.02,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
22:08:41,10/24/2022,6460867701,3646354167,5693.45,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
16:04:23,10/30/2022,9959830592,1924978868,13513.01,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
23:38:42,10/10/2022,5030999915,5503043137,1475.9,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
13:19:02,10/29/2022,854801746,8916032258,63.24,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
19:19:54,10/30/2022,3534969126,1787857925,1041.03,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
12:21:56,11/5/2022,5713915535,3347268325,1386.6,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
22:31:00,10/13/2022,80713522,9589871743,9099.97,Pakistani rupee,UK pounds,Pakistan,UK,Cross-border,0,Normal_Fan_In
4:15:32,11/3/2022,635234764,494965333,4645.05,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
16:01:35,11/2/2022,40235155,9416949366,1968.34,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
23:20:21,10/23/2022,1441893164,2108655654,16928.11,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
17:40:05,10/29/2022,5348570432,3583323737,10666.62,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
9:47:38,11/2/2022,3522725314,2442718288,9060.28,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
13:07:10,10/22/2022,5599249157,6109273520,6959.56,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
12:11:51,10/17/2022,2285885463,2735382909,9133.01,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
9:01:19,10/24/2022,6116013328,3033634244,13752.36,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
5:32:37,10/18/2022,7885672195,9427114673,5165.79,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
8:34:14,11/11/2022,1527850321,9467837616,22803.71,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
18:36:04,11/6/2022,3991111447,5229633863,13007.31,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Periodical
22:03:06,10/12/2022,6874160350,9123145400,22312.09,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
18:07:34,10/10/2022,4727686386,4657971780,9248.36,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
20:01:11,10/31/2022,3414144810,943719135,6477.33,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:01:32,10/27/2022,8165005964,5354538534,6954.96,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
22:05:05,10/8/2022,9902740361,9478393549,4658.82,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
22:41:23,10/11/2022,2346864590,4957643492,9636.65,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:38:54,10/12/2022,5235287672,5563686076,4556.58,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
15:45:25,10/27/2022,9672958271,3624209153,6903.93,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
13:36:12,10/17/2022,4869727771,9588269403,5165.36,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
13:01:09,10/7/2022,7746588679,774740194,925.34,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
6:01:33,10/13/2022,2376108304,9021578286,9617.99,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
17:00:45,11/5/2022,6047981862,6853226382,17634.71,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
12:04:38,10/7/2022,3898972734,3947868692,168.24,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
15:22:02,10/22/2022,1809128289,7888688848,11860.53,Dirham,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
21:59:58,10/31/2022,7610679320,5169868360,6566.89,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_In
8:42:52,10/25/2022,3818847986,1027955900,8839.48,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
20:49:29,10/26/2022,3158538471,8898995327,6956.18,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
16:39:27,10/23/2022,3878262561,9247553473,6484.89,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
15:16:00,11/11/2022,1277864205,1187554139,187.62,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
15:12:23,10/9/2022,6112287308,3723377899,5173.58,Mexican Peso,UK pounds,Mexico,UK,Cross-border,0,Normal_Fan_In
15:49:30,10/15/2022,2509800067,5533143980,25990.06,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:09:43,11/11/2022,9179140007,9975713128,5305.01,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
16:05:19,10/28/2022,8260512066,4961801372,3878.81,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:58:50,11/1/2022,9395946307,698219412,502.09,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
12:47:23,10/28/2022,1854208703,5264733214,4484.78,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
8:18:01,10/17/2022,8394329540,5334788886,3022.08,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
13:32:52,10/22/2022,643064610,586586729,624.61,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
13:04:48,11/10/2022,8036948358,676115071,558.41,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
13:08:43,10/10/2022,8099755467,2635988354,10426.97,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
16:23:30,10/26/2022,4890784011,8811441288,10899.6,UK pounds,Indian rupee,UK,India,Cross-border,0,Normal_Fan_Out
20:38:31,10/27/2022,5357041745,5911457372,12235.84,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
11:49:19,10/8/2022,2974927910,4255313773,14433.37,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
20:08:36,10/21/2022,4179671957,9801530650,4349.69,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
9:30:39,10/23/2022,9821920489,3439901747,810.99,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
13:03:27,11/3/2022,2389467192,3114098743,333.82,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
9:44:37,10/25/2022,8304329579,8015195999,3185.15,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
7:18:28,10/12/2022,6653272352,2765290784,8910.54,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
14:28:05,10/8/2022,3347268325,5713915535,2149.2,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
19:28:50,11/11/2022,7848904411,261845449,23978.8,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
16:51:02,10/19/2022,8005275767,4782781120,1574.41,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
15:53:24,10/11/2022,3114444835,5904785681,14176.74,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
18:14:24,10/10/2022,5441302161,5171603854,1634.74,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
23:23:46,11/3/2022,7197521884,7594755766,5518.82,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
20:49:41,10/17/2022,7547290671,8681335448,19395.88,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
15:01:08,10/10/2022,5447895119,4023112385,11249.61,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Periodical
15:10:38,10/12/2022,9450072710,9606236502,278.44,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
22:56:44,11/8/2022,6991080362,4001552482,329.49,UK pounds,Naira,UK,Nigeria,Cross-border,0,Normal_Small_Fan_Out
14:35:55,10/27/2022,368918928,3068107079,5278.23,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:47:04,10/29/2022,540263600,9430804295,5061.46,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
5:30:06,10/15/2022,15085634,4007860436,7949.07,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
3:59:25,10/31/2022,3466990541,3577079988,875.37,Swiss franc,UK pounds,Switzerland,UK,Cross-border,0,Normal_Small_Fan_Out
16:41:14,10/17/2022,6423757635,6205130959,1952.29,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
17:06:39,10/25/2022,8284358668,8138598718,1277.77,UK pounds,US dollar,UK,USA,Cross-border,0,Normal_Small_Fan_Out
12:56:51,10/10/2022,353944921,7372873672,1492.14,UK pounds,Euro,UK,France,Cross-border,0,Normal_Periodical
9:11:34,10/18/2022,656226880,59854012,10683.04,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
21:05:56,10/20/2022,1462188980,3258040839,274.19,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
22:01:23,11/2/2022,6004706272,5923831775,1821.67,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
13:41:27,10/9/2022,5077259356,5287492773,18341.81,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
13:07:11,11/3/2022,7782335646,9578638649,7561.17,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
17:45:06,10/18/2022,5872496199,4905299954,5004.88,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
19:04:37,10/14/2022,1644128691,124028560,1469.8,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
19:10:30,10/13/2022,2806630152,4533684181,5404.29,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
21:57:34,11/11/2022,8235808958,1949987515,2453.15,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
15:38:33,10/7/2022,8456279067,7743294128,22333.72,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
16:25:15,10/14/2022,4157418971,959782789,3215.39,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
12:32:22,11/7/2022,7870238243,9635269129,14456.38,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
8:25:04,10/9/2022,6923304400,1712828717,4748.94,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
12:03:08,10/9/2022,5580816371,5794041401,17148.88,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
16:55:27,10/20/2022,887312385,5625073014,2565.94,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
11:09:59,11/10/2022,8599123799,7979480451,8155.02,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
22:44:56,11/9/2022,3039904232,8771376799,5615.17,Moroccan dirham,UK pounds,Morocco,UK,Cross-border,0,Normal_Fan_In
23:12:01,10/15/2022,9849312231,773204457,15407.57,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Foward
13:30:04,10/31/2022,593043280,1571737872,5218.32,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
11:29:06,11/10/2022,8915503683,5874374317,17020.89,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
12:13:53,11/7/2022,9620686680,9109910725,6332.13,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
6:09:53,10/14/2022,3582751063,6040402277,9380.65,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Fan_Out
9:07:49,10/11/2022,9844118084,1400337912,16361.21,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:46:20,10/9/2022,3222840880,8723479480,7085.96,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
14:09:16,10/30/2022,6692019254,804559306,24440.76,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
16:56:24,10/15/2022,3714582628,4886181407,10274.1,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
12:58:17,10/28/2022,7844122184,9664819991,6844.92,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
17:11:11,10/30/2022,5125519138,6685834446,348.26,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
7:45:46,10/22/2022,374216815,9722876059,1633.15,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
8:05:26,10/27/2022,8193193753,9716797685,6595.36,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_In
17:06:37,10/31/2022,9833538174,2372912621,10345.57,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
4:08:13,10/16/2022,1147093613,2452071191,13193.41,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Fan_Out
16:31:49,10/19/2022,9781562911,6688912707,1829.18,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
7:42:23,11/1/2022,7262256391,2861134413,6420.93,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
15:36:05,11/9/2022,360255551,6100147737,6443.31,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
6:17:15,10/11/2022,8052801346,4093151240,10213.86,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
15:45:33,10/21/2022,161538790,7584501127,2094.22,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
8:26:16,10/24/2022,7385355795,6109635043,39083.92,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Mutual
13:08:10,10/19/2022,2186878187,7382425412,28804.64,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
23:51:38,10/8/2022,4681432012,7188260330,127.65,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
12:26:09,10/25/2022,6681067925,6935514493,1587.98,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Periodical
23:13:12,11/4/2022,338856582,2781992504,4775.29,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
0:47:00,10/18/2022,6106832390,2350842694,13465.84,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
20:05:29,11/2/2022,9589871743,2360537974,6033.18,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
1:25:34,10/21/2022,2346604656,433044879,292.9,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
22:03:11,11/10/2022,9362022609,3190273279,16378.77,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
13:31:53,11/8/2022,2961765326,5472005744,629.18,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
9:41:10,10/24/2022,7707810729,8956032585,1301.26,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
8:20:25,10/16/2022,9449588215,6237397712,9652.47,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
18:00:50,10/10/2022,2559007392,6267549892,10998.6,UK pounds,Mexican Peso,UK,USA,Cross-border,0,Normal_Fan_In
15:19:01,11/6/2022,1284537919,7618340734,9540.52,UK pounds,Dirham,UK,UAE,Cross-border,0,Normal_Fan_In
10:26:40,10/18/2022,8464577990,6548679009,5884.92,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
20:34:07,10/12/2022,7785245954,3792058022,701.5,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
17:33:41,11/10/2022,8734789979,9435986925,157.77,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
11:38:41,10/17/2022,2286679717,3220990583,6211.793879,UK pounds,UK pounds,UK,UK,Debit card,1,Stacked Bipartite
10:34:03,11/1/2022,1500668101,7096475743,5717.7,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
8:58:34,11/5/2022,5530657888,5704932053,2259.0,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
12:25:36,11/5/2022,937478447,6299531684,15360.92,Pakistani rupee,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
19:40:17,10/21/2022,3786036768,7658363727,127.54,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:07:24,10/16/2022,9292283602,5739398198,1205.33,Euro,UK pounds,Austria,UK,Cross-border,0,Normal_Small_Fan_Out
11:26:08,11/7/2022,1682464689,9467821342,6827.21,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
22:53:59,10/21/2022,2275727067,7934381032,10476.21,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
10:10:50,11/8/2022,3449997444,2542103308,13315.27,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_Out
20:27:24,10/27/2022,9075937999,2030127815,18948.37,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
11:02:09,11/10/2022,9908392951,4219273246,5945.62,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
20:55:10,10/9/2022,6984051591,1533601707,11998.37,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
10:04:56,10/19/2022,5942865467,6355818949,13010.79,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
15:42:04,11/3/2022,8066286852,2367741630,6958.57,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
12:09:32,11/11/2022,158969641,5073968918,9387.35,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
20:29:24,10/28/2022,2782319946,1203252958,2027.31,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
11:05:14,10/10/2022,4238888536,4874986253,14040.51,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
19:38:45,11/3/2022,4413964314,2384277968,3445.41,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:33:26,10/12/2022,5460360634,7369150381,5869.54,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
12:12:39,11/11/2022,9329577234,5903728342,5581.09,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
20:23:29,10/16/2022,7359090361,4727658498,315424.35,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Plus_Mutual
8:50:06,10/24/2022,4368648819,2020652333,10896.52,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Plus_Mutual
13:02:06,10/22/2022,7846498764,7145736573,5091.54,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
18:41:36,11/6/2022,2427728391,6712337032,6035.3,UK pounds,Indian rupee,UK,India,Cross-border,0,Normal_Fan_Out
20:13:35,10/19/2022,6684218753,3682105766,2575.03,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
13:48:03,10/31/2022,9289592164,7085763549,5287.33,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
9:31:08,10/25/2022,9781717277,4579098739,5662.7,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
11:52:49,11/8/2022,5623886398,3625020473,7005.99,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
22:37:47,10/23/2022,9460835528,7316054661,181.45,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
13:25:48,10/12/2022,6856286280,6312155597,8893.13,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
18:24:07,10/17/2022,5987941320,7892709725,16903.38,UK pounds,Pakistani rupee,UK,UK,Cheque,0,Normal_Mutual
21:06:34,10/7/2022,3614082527,7050565101,12400.14,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
23:56:11,11/6/2022,3565218514,5710043480,2970.01,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
13:36:27,10/27/2022,8877870248,6695955938,123.94,Euro,UK pounds,Italy,UK,Cross-border,0,Normal_Small_Fan_Out
20:31:57,10/19/2022,6919575880,1277052398,1092.53,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
21:06:42,10/8/2022,4011994434,8378180982,2922.52,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
11:38:22,10/16/2022,3193957988,3381263290,847.72,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
14:51:46,11/3/2022,4397271402,7754173980,19280.54,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
16:21:48,11/11/2022,8417461047,9879096409,3300.62,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Periodical
16:23:59,10/14/2022,1323995575,9844781055,2252.99,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
14:50:24,10/19/2022,1419719409,9778510267,784.71,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
22:31:00,10/21/2022,8419033992,3829248142,6376.0,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
2:29:46,11/8/2022,4128218629,2142214525,19466.02,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Mutual
21:03:21,10/29/2022,4400883068,1563739705,10985.67,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:23:07,11/3/2022,3656507847,6036176933,9030.26,UK pounds,Dirham,UK,UAE,Cross-border,0,Normal_Fan_Out
16:41:05,10/28/2022,4830035713,6744599788,1004.12,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
15:05:18,10/19/2022,1953697189,6747443926,5295.99,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Plus_Mutual
22:01:53,10/20/2022,537573920,6000342543,6880.09,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
20:46:06,10/31/2022,7574724143,5336673272,2468.75,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
7:56:21,10/13/2022,1519833236,6831196529,7298.71,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
9:36:37,10/29/2022,9460198888,3587624875,2002.4,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
12:36:11,11/10/2022,7139943031,9232810111,1266.95,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
9:19:11,10/22/2022,5076414767,286887043,21936.46,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
11:53:24,11/9/2022,3524470825,3682462176,8150.14,UK pounds,UK pounds,UK,UK,Credit card,1,Gather-Scatter
9:09:14,10/18/2022,2985142648,5841632391,1615.85,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
18:56:00,10/9/2022,8564946439,5178754307,11404.55,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
10:22:21,10/16/2022,6246120714,8697928043,7357.83,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
16:49:51,10/18/2022,1767299126,9588730685,4743.75,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
23:06:19,10/20/2022,5134422284,4271300093,13435.5,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
9:42:34,11/4/2022,8722719854,8476445753,520330.78,UK pounds,UK pounds,UK,UK,Debit card,1,Single_large
7:11:07,10/19/2022,1950236164,1571968873,16178.4,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Normal_Fan_Out
